source,target,value
18FokC99bso1vCj2W3jYQP9LRShD39AhhQ,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,11464000
1ACwknm25uTyBbdQGPTguVqCdbg5EFdACS,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,11406180
1C7nVHchXKdeMMAZ3ZrqRoHQW6MHyGUNzt,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1289251
1M9wkBu86KUiWJMi5LKKCwH1xZe4MRoy15,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,8500000
1Apb4e454Raqs1Au7oH1YB1aQ2VacrwsvQ,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,11346304
14doiGxmLux3YnDNmhxMD8Skoyom7XcR8n,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1279581
1AQvp9mmBvgAm1UN8Tm3HvUf2RX5R9dyDX,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,11476000
19LJbyChyAXmzmvTVJwMArBvCgMFQdRAcJ,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,11370000
14Kg97kqZnJLWJm4XTL4u5HX7nQRhK2fya,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1000000
1EcnwMSL2MfLwki7GVh6ZTFKZus9B17WbZ,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1185605
1C6uvzGCxfngVcCV36pDWbtNoiZ5vNMV2C,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1299490
1PJqNxCju7HhvnyLYnkhTmVWvutrZv6JqL,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1227670
1NmXW8T3HZbt5gJxNCHMxwxgJDAdoUa45V,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1283078
12AiPs9hDYiaqDZsU2HWsMkBYrNQa7Cyjs,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,3586700
1EowWJ9CsJyBnGtAhWS6UsFvWPezzvjL6t,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1142153
1Ga8virEBgrR4r8AuCevjHu3kN1zwz22cu,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1294816
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1NaWzKfVj4nDTSFUzSX53gFN3x1k928ZTW,9900000
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,14L1FdEtipj6g3nvkAtK9fKo5txWkwJNDc,10000000
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1F6gZPFGtPHFRrCyN8BJEfVDpBderT9Hu3,9348165
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1AbNUXeBfocsdw7zG623FWNrMjceH3yy7s,10000000
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,10000000
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1E74RN1SLbGphUjVGzRCEmtwjUiVNp2HFN,10000000
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1N9dMCjYZVNtVumXBBHwb7cQNJpyi9981g,10000000
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,17GM38CjoWnMw4bcazEbH7y1gjmJBvu8a5,10000000
