origin,destination,value
12wfq43e85XMrPxmWzytYRMaMwpuCYLkB5,1NaWzKfVj4nDTSFUzSX53gFN3x1k928ZTW,9900000
12wfq43e85XMrPxmWzytYRMaMwpuCYLkB5,14L1FdEtipj6g3nvkAtK9fKo5txWkwJNDc,10000000
12wfq43e85XMrPxmWzytYRMaMwpuCYLkB5,1F6gZPFGtPHFRrCyN8BJEfVDpBderT9Hu3,9348165
12wfq43e85XMrPxmWzytYRMaMwpuCYLkB5,1AbNUXeBfocsdw7zG623FWNrMjceH3yy7s,10000000
12wfq43e85XMrPxmWzytYRMaMwpuCYLkB5,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,10000000
12wfq43e85XMrPxmWzytYRMaMwpuCYLkB5,1E74RN1SLbGphUjVGzRCEmtwjUiVNp2HFN,10000000
12wfq43e85XMrPxmWzytYRMaMwpuCYLkB5,1N9dMCjYZVNtVumXBBHwb7cQNJpyi9981g,10000000
12wfq43e85XMrPxmWzytYRMaMwpuCYLkB5,17GM38CjoWnMw4bcazEbH7y1gjmJBvu8a5,10000000
12wfq43e85XMrPxmWzytYRMaMwpuCYLkB5,1DM7axPZU3sHeiirZwJkJ7Gh2YrjqhXeTq,10000000
12wfq43e85XMrPxmWzytYRMaMwpuCYLkB5,1JeFhP8QEVn1mpZMGQnGwiyeCMvnPedRym,10000000
12wfq43e85XMrPxmWzytYRMaMwpuCYLkB5,1MbZGb6iuc4ES7royQMJCBLmDqPWVQhbyJ,10000000
12wfq43e85XMrPxmWzytYRMaMwpuCYLkB5,1FKmwkaHPa57UybZY73rKCbRv695vucVvY,10500000
12wfq43e85XMrPxmWzytYRMaMwpuCYLkB5,14YirZ6gxRHKFn1xWXtdzAAB8Mv9EVTSjB,10000000
12wfq43e85XMrPxmWzytYRMaMwpuCYLkB5,12aA6doHHLZmMvoGdiVSCQi32rWmSE8QCu,10500000
